"Source:"	"/Users/andrewferguson/Documents/10-19 Projects/11 Design/11.03 TeachMePCB/Macro Keyboard/Macro Keyboard.sch"
"Date:"	"Wednesday, December 29, 2021 at 08:02:41 PM"
"Tool:"	"Eeschema (5.1.12-1-10_14)"
"Component Count:"	"126"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C201"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C202"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C203"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C301"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C401"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C402"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C601"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C701"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C801"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C901"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1001"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1101"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1201"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1301"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1401"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1501"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1701"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1801"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C1901"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2001"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2101"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2201"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2301"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2401"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2501"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2601"	"10 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2701"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2801"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2802"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2901"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2902"	"4.7 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2903"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2904"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
"C2905"	"1 uF 10% 10V"	"Device:C_Small"	"Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"	"Unpolarized capacitor, small symbol"	""
